struttura_nome,nome_appartamento,unit_label,tipologia,month,avg_price,min_price,max_price,weekend_avg,weekday_avg,min_stay_values,closed_days,priced_days,rack_rate,room_min_stay,source_updated_at
Cattolica,Cattolica - Via Fiume 37,Default,Appartamento,giugno,171.62,90,279.38,240.13,146.71,2/3,28,30,400,1,2026-06-19T02:00:13.682+00:00
Cattolica,Cattolica - Via Fiume 37,Default,Appartamento,luglio,381.94,250,608,495.56,335.45,2/3,21,31,400,1,2026-06-19T02:00:13.682+00:00
Cattolica,Cattolica - Via Giuseppe Mazzini 169,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Giuseppe Mazzini 169,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Rasi Spinelli 2,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Rasi Spinelli 2,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Venezia 7 Cortile Interno,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Venezia 7 Cortile Interno,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Venezia 7 Fronte Strada,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Venezia 7 Fronte Strada,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Venezia 9 con cucina,Default,Appartamento,giugno,122.36,18.23,363.83,141.3,115.47,1/2/3,25,30,500,1,2026-06-19T02:00:11.309+00:00
Cattolica,Cattolica - Via Venezia 9 con cucina,Default,Appartamento,luglio,421.69,279.5,667.39,542.02,372.47,2/3,4,31,500,1,2026-06-19T02:00:11.309+00:00
Cattolica,Cattolica - Via Verdi 29,Default,Appartamento,giugno,145.38,25,252,197.38,126.47,1/2/3,27,30,400,1,2026-06-19T02:00:11.302+00:00
Cattolica,Cattolica - Via Verdi 29,Default,Appartamento,luglio,297.55,196,467,386.44,261.18,1/3,17,31,400,1,2026-06-19T02:00:11.302+00:00
Cattolica,Cattolica - Via Zara 24,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Cattolica,Cattolica - Via Zara 24,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Gabicce Mare,Gabicce Mare - Via Macchiavelli snc,Default,Trilocale,giugno,,,,,,,0,0,400,3,
Gabicce Mare,Gabicce Mare - Via Macchiavelli snc,Default,Trilocale,luglio,,,,,,,0,0,400,3,
Gabicce Mare,Gabicce Monte - Via Emanuele Filiberto 9,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Gabicce Mare,Gabicce Monte - Via Emanuele Filiberto 9,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Gradara,Fanano - Via Sotto Farneto snc,Default,Appartamento,giugno,,,,,,,0,0,400,1,
Gradara,Fanano - Via Sotto Farneto snc,Default,Appartamento,luglio,,,,,,,0,0,400,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,104,Appartamento,giugno,,,,,,,0,0,,,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,104,Appartamento,luglio,,,,,,,0,0,,,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,202,Appartamento,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,202,Appartamento,luglio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Bilo 1° A,Appartamento,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Bilo 1° A,Appartamento,luglio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Bilo 1° B,Appartamento,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Bilo 1° B,Appartamento,luglio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Bilo 1° C,Appartamento,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Bilo 1° C,Appartamento,luglio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Bilo PT 1,Appartamento,giugno,,,,,,1/2/3,24,0,0,1,2026-06-19T02:00:12.383+00:00
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Bilo PT 1,Appartamento,luglio,,,,,,,0,0,0,1,2026-06-19T02:00:12.383+00:00
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Bilo PT 2,Appartamento,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Bilo PT 2,Appartamento,luglio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Bilo PT 3,Appartamento,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Bilo PT 3,Appartamento,luglio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Bilo PT 4,Appartamento,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Bilo PT 4,Appartamento,luglio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Dependance 1,Appartamento,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Dependance 1,Appartamento,luglio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Dependance 2,Appartamento,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Dependance 2,Appartamento,luglio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Mono 1° A,Appartamento,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Mono 1° A,Appartamento,luglio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Mono 1° B,Appartamento,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Mono 1° B,Appartamento,luglio,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Mono 3°,Appartamento,giugno,,,,,,,0,0,,,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Mono 3°,Appartamento,luglio,,,,,,,0,0,,,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Trilo 1°,Appartamento,giugno,,,,,,,0,0,0,1,
Miramare,RESIDENCE VILLA MARGHERITA - Via Principe di Piemonte 52 Miramare,Trilo 1°,Appartamento,luglio,,,,,,,0,0,0,1,
